model,question,answer,faithfulness,answer_relevance,retrieval_precision,retrieval_recall,correct_source,retrieved_sources
mistral,How can you prolong the moistness of the brownies after cooling?,Leave the brownies uncut (and slice as you enjoy) to prolong their moistness.,0.9090909090909091,0.6804825067520142,0.3333333333333333,1.0,Malted Chocolate Brownies,"Divorce Carrot Cake, Quick Blueberry Muffins, Malted Chocolate Brownies"
mistral,On which day does the cake have the best flavor according to the recipe?,"The cake seems to have the best flavor on the second day, in my opinion!",1.0,0.7680479288101196,0.5,1.0,One-Bowl Lemon Snack Cake,"Divorce Carrot Cake, One-Bowl Lemon Snack Cake"
mistral,"What two oven temperatures are used to bake the muffins, and for how long at each?","The muffins are first baked at 425°F for 5 minutes, then the temperature is reduced to 375°F and they are baked for another 13 to 16 minutes.",0.8,0.8431925773620605,0.3333333333333333,1.0,Quick Blueberry Muffins,"Divorce Carrot Cake, Quick Blueberry Muffins, Malted Chocolate Brownies"
llama3,How many days can the chicken Caesar wraps be refrigerated?,"The chicken Caesar wraps can be wrapped in plastic wrap, parchment paper, or foil, and refrigerated for up to 2 days.",1.0,0.8530054688453674,0.5,1.0,Chicken Caesar Wrap,"Chicken Caesar Wrap, Easy Roast Chicken"
llama3,What is the purpose of chilling the scones before baking?,Chilling the scones before baking helps them rise more evenly and prevents them from spreading too much.,0.5,0.8832604885101318,0.5,1.0,chocolate_chip_scones,"chocolate_chip_scones, Divorce Carrot Cake"
llama3,What ingredient is used to make the breading mixture 'cheesy' without cheese?,Nutritional yeast.,0.5,0.486538827419281,0.3333333333333333,1.0,Crispy Breaded Cauliflower Nuggets,"One-Pot Mac and Cheese, Divorce Carrot Cake, Crispy Breaded Cauliflower Nuggets"
llama3,How many calories are in one serving of the 3-Ingredient Cajun Alfredo Pasta?,There are 504 calories in one serving of the 3âIngredient Cajun Alfredo Pasta.,0.5555555555555556,0.8799262046813965,0.5,1.0,3-Ingredient Cajun Alfredo Pasta,"Easy Lasagna Primavera, 3-Ingredient Cajun Alfredo Pasta"
llama3,What is the protein content per serving in the Easy Roast Chicken?,The protein content per serving in the Easy Roast Chicken is 60g.,0.75,0.9145122766494751,0.25,1.0,Easy Roast Chicken,"How To Make a Burger on the Stove, Easy Roast Chicken, 3-Ingredient Smoothie (5 Minutes), 3-Ingredient Cajun Alfredo Pasta"
llama3,How long should the cake cool before frosting?,"Let the cake cool in the pan on a wire rack until room temperature, about 1 hour.",1.0,0.733817994594574,0.5,1.0,Divorce Carrot Cake,"One-Bowl Lemon Snack Cake, Divorce Carrot Cake"
llama3,What is the purpose of spraying aluminum foil before covering the lasagna?,To prevent the lasagna from sticking to the aluminum foil.,0.5,0.891432523727417,0.3333333333333333,1.0,Easy Lasagna Primavera,"One-Pot Mac and Cheese, Easy Lasagna Primavera, chocolate_chip_scones"
llama3,At what internal temperature does the USDA recommend the chicken breast to be fully cooked?,The USDA recommends cooking chicken breast to an internal temperature of 165°F.,0.875,0.860756516456604,0.5,1.0,Easy Roast Chicken,"Easy Lasagna Primavera, Easy Roast Chicken"
llama3,Why do you press down on each patty with a spatula for 10 seconds after placing it in the skillet?,This is to encourage browning.,1.0,0.265726238489151,0.3333333333333333,1.0,How To Make a Burger on the Stove,"How To Make a Burger on the Stove, Malted Chocolate Brownies, Crispy Breaded Cauliflower Nuggets"
llama3,What is the recommended oil temperature for frying the donuts?,The oil should be heated to 350°F before frying the donuts.,0.7142857142857143,0.8695191144943237,0.5,1.0,How To Make Donuts,"Divorce Carrot Cake, How To Make Donuts"
llama3,How can you prolong the moistness of the brownies after cooling?,"Once cool, wrap in foil, then transfer to a zip-top bag. They can stay at room temperature for up to 5 days. Leave them uncut (and slice as you enjoy) to prolong moistness. The brownies can also be refrigerated for up to 2 weeks or frozen for up to 3 months. Slice and wrap each individually in plastic wrap before freezing. Pop a cold or frozen brownie in the microwave for 5 to 10 seconds to warm it.",1.0,0.6355342864990234,0.3333333333333333,1.0,Malted Chocolate Brownies,"Quick Blueberry Muffins, Malted Chocolate Brownies, Divorce Carrot Cake"
llama3,On which day does the cake have the best flavor according to the recipe?,"The cake seems to have the best flavor on the second day, in my opinion!",1.0,0.7680479288101196,0.5,1.0,One-Bowl Lemon Snack Cake,"One-Bowl Lemon Snack Cake, Divorce Carrot Cake"
llama3,"What two oven temperatures are used to bake the muffins, and for how long at each?","The muffins are baked at 425°F for 5 minutes, then at 375°F for 13 to 16 minutes.",0.9,0.845522403717041,0.3333333333333333,1.0,Quick Blueberry Muffins,"Malted Chocolate Brownies, Quick Blueberry Muffins, Divorce Carrot Cake"
